SampleID	Rx	sex	SiteType	Sampled_by	Date	Latitude	SampleCategory	ShotgunEndo	ShotgunClonality					
A1033_Bisonpriscus_NorthSlopeIkpikpukRiver_40335	0.489692486	M	Riverine	Alan_and_Beth	40335	70.81	Astralagus	0.08371571	0.057463311					
A2946-BHC23-08_Bisonpriscus_NorthSlopeIkpikpukRiver_40893	1.035485119	F	Riverine	Alan_and_Beth	40893	70.81	Longbone	0.505765078	0.00835674					
A16171_Bpriscus_HawkMinePetrous_40999	0.47486155	M	Mine	Cooper/Rabanus/Soubrier	40999	64.0563833	Petrosal	0.560875899	0.02604127					
A956_Bisonspp_NovosibirskIsSiberia_42121	0.532031805	M	Marine	Ian_Barnes	42121	75.266563	Longbone	0.295578185	0.06143809					
A3266_Bisonspp_QuartzCreekCanada_42888	0.481744678	M	Riverine	Alan_Cooper	42888	63	Longbone	0.09077459	0.009372513					
A1053_Bpriscus_NorthSlopeIkpikpukRiver_42926	0.519414745	M	Riverine	Alan_and_Beth	42926	70.81	Astralagus	0.559769701	0.01013838					
A710_Bisonpriscus_NorthSlopeIkpikpukRiver_43052	0.90378998	F	Riverine	Alan_and_Beth	43052	70.777081	Astralagus	0.018706934	0.006487559					
A999_Bisonspp_StanchikovskyYarSiberia_45562	0.490594328	M	Riverine	Ian_Barnes	45562	68.275	NA	0.197006741	0.64549099					
A16150_Bpriscus_CanyonCkFrozenRadius_45800INF	0.500293168	M	Riverine	Cooper/Rabanus/Soubrier	45800	63.8189	Longbone	0.522512319	0.001811299					
A1003-BHC23-16_Bisonspp_BolshoiHomoosUriakhRiverSiberia_47323	0.524952431	M	Riverine	Ian_Barnes	47323	71.16	NA	0.203818273	0.071850609					
A1032_Bisonspp_DawsonareaOroGrandeCr_47500INF	0.994775185	F	Riverine	Alan_and_Beth	47500	63.8838889	Longbone	0.146778193	0.012331088					
A17693_Bpriscus_YukonRiver_47591	0.506410738	M	Riverine	Bastien_Llamas	47591	65.31839	Petrosal	0.647370482	0.236287925					
A1454_Bisonpriscus_NorthSlopeIkpikpukRiver_48130	0.922833357	F	Riverine	Alan_and_Beth	48130	70.81	Longbone	0.029574274	0.012279804					
A16165_Bpriscus_QuartzCkPetrous_48900INF	0.905230961	F	Riverine	Cooper/Rabanus/Soubrier	48900	63.82	Petrosal	0.529521989	0.001095549					
A1025-BHC23-10_Bisonspp_BykovskyPeninsulaSiberia_INF	0.518522321	M	Marine	Ian_Barnes	49613	72.5	Longbone	0.364146864	0.021668342					
A1044_Bisonspp_BlackRYukonFlatsAK_49732	0.423384892	M	Riverine	Alan_and_Beth	49732	66.277	Longbone	0.019244194	0.01030137					
A1039-BHC24-05_Bisonspp_BykovskyPeninsulaSiberia_49845	0.530012259	M	Marine	Ian_Barnes	49845	72.5	NA	0.357077758	0.029580726					
A16132_Bpriscus_Yukon_49860	0.491488903	M	Riverine	Cooper/Rabanus/Soubrier	49860	64.0563833	Petrosal	0.520243857	0.005978596					
A947_Bisonpriscus_NorthSlopeIkpikpukRiver_49900	0.481186661	M	Riverine	Alan_and_Beth	49900	69.13185	Astralagus	0.186129789	0.130885395					
A875_Bpriscus_SiberiaAlyoshkinaZaimka_50kINF	0.492653593	M	Riverine	Alan_Cooper	50000	68.3	Longbone	0.533721038	0.0214158					
A954_Bisonspp_DuvannyYarRussia_50075	0.500043641	M	Riverine	Ian_Barnes	50075	68.6166667	Longbone	0.447205406	0.009575708					
A1530_Bisonspp_Dawsonarealoc25FlatCreekCanada_50100	0.4963027	M	Riverine	Alan_and_Beth	50100	63.9426	Longbone	0.028171085	0.015975848					
A1042-BHC23-13_Bisonpriscus_NorthSlopeIkpikpukRiver_50107	0.515205167	M	Riverine	Alan_and_Beth	50107	70.81	Longbone	0.069732885	0.017573051					
A1288_Bisonspp_RevenueCrCanada_51200	0.45513002	M	Riverine	Alan_Cooper	51200	62.33	Longbone	0.291699613	0.008236316					
A16134_Bpriscus_OroGrandePetrous_49900INF	0.496024598	M	Riverine	Cooper/Rabanus/Soubrier	51308	64.0563833	Petrosal	0.58145483	0.000936147					
A987_Bisonspp_StanchikovskyYarSiberia_55600	0.516063713	M	Riverine	Ian_Barnes	55600	68.275	NA	0.014722204	0.038537549					
A929_Bisonspp_LostChickenCkAlaska_55800	0.935998235	F	Riverine	Alan_Cooper	55800	64.0533333	Longbone	0.360063292	0.008103332					
A1006_Bisonspp_Carmacksarealoc2BolidenCreekYT_56000	0.500895647	M	Riverine	Alan_and_Beth	56000	62.3422222	Longbone	0.029341056	0.079265442					
A924_Bisonspp_DomeCrAlaska_56400	0.505545032	M	Riverine	Alan_and_Beth	56400	64	Longbone	0.009674548	0.280768132					
A1026_Bisonspp_BolshoiHomoosUriakhAmalonRSiberia_56800INF	0.498573947	M	Riverine	Ian_Barnes	56800	71.16	NA	0.429826794	0.017788534					
A1011_Bisonspp_DawsonareaLastChanceCreek_57500	0.862087324	F	Riverine	Alan_and_Beth	57500	64.016667	Longbone	0.02870997	0.087032617					
A1061_Bisonspp_DuvanyYarSiberia_58000	0.531309648	M	Riverine	Ian_Barnes	58000	68.6166667	NA	0.072140231	0.017575712					
A1514_Bisonspp_EskimoLakesNWT_58293	0.512191596	M	Lacustrine	Alan_Cooper	58293	69.25	Longbone	0.031091813	0.035952608					
A1038_Bisonspp_BolshoiHomoosUriakhRiverSiberia_58800	1.01306079	F	Riverine	Ian_Barnes	58800	71.16	NA	0.218696103	0.310960518					
