ACAD Sample Number,Genetic Sex,Sample QC'd in Online db & lab work files?,Extraction,Est. Amt. of Extract left,Bone left?,PCR,LibraryPrep,Est. Amt. of Post-Bst library left in tram barn,P5 Adapter Sequence,P7 Adapter Sequence,Tapestation File,Post-cleanup Concentration,Shotgun Sequencing Run,Sequencing Index,Shotgun Screening %Endogenous,Shotgun Screening %Clonality,Est. Amt. of PCR-amplified Library left in Darling,Capture Mito,Tapestation File,Post-cleanup Concentration,Est. Amt. of cleaned capture product left,WMG Capture Sequencing Run,Sequencing Index,Capture 10k,Tapestation File,Post-cleanup Concentration,Est. Amt. of cleaned capture product left,SNP Capture Sequencing Run,Sequencing Index,WMG?,Sample Number,Group Number,Sample Description,Category of Sample,Extracted By/Date,ACAD Location,Sample Number,Group Number,Sample Description,Category of Sample,Extracted By/Date,ACAD Location,Date of entry into ACAD,ACAD Location,Sample Number,ABC/Oxford Sample Number,Group Number,Sample Description,Genus,Species,Sub species,Category of Sample,Sample Details,Sample Notes,Region,Country,State,Locality,Specific Location,Latitude,Longitude,How location was obtained,Datum,Collection Details,Collection Notes,Date Collected,Collected by,Quality,Museum Name,Museum Accession Number,Sampled by,Date Sampled,ACAD Location,Carbon Date,Mismatch reason,Extracted By/ Date,Date of entry into ACAD,Import permit #,Notes,Sample repatriated,Bone left?,DNA extract?,Museum,Accn. No.,Radiocarbon Accn. No.,Age ,Cal,SE,N/S,Genbank #,# gens,Sample Reference,Date Source,Centre,Centre_num,Stage,Date,Error,OxCal4.2 Int13 Mean calBP,del13      ,del15      ,Sample Reference,Centre,Centre_num,Date,Error,del13      ,del15      ,Centre,Centre_num,Date,Error,del13      ,del15      ,Shapiro?,Shapiro Success?
531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04301,GP0000,0,Bison,,,Bone,Metatarsal,_x000B_Pathology,Canada,Canada,,,"Dawson area, loc. 52_x000B_Eldorado Creek",64.8333333,-147.6666667,From Debruyne et al. 2008 SI,,,,1984,,,Canadian Museum of Nature,CMN 46462,Alan and Beth,28-May-00,Bison - Canada,,no bone info on bag but rest of info the same.,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04358,GP0000,0,Bison,,,Bone,L. metacarpal,,Canada,Canada,,,Dawson area_x000B_Nugget Gulch,63.8833333,-139.3,Estimated from location description and coordinates listed in Harington and Morlan 2002,,,,1987,,,Canadian Museum of Nature,CMN 45429,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04290,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Dawson-Nuget Gulch,63.8833333,-139.3,Estimated from location description and coordinates listed in Harington and Morlan 2002,,,,1987,,,Canadian Museum of Nature,CMN 45439,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04259,GP0000,0,Bison,,,Bone,Metatarsal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1981,,,Canadian Museum of Nature,CMN 37717,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04074,GP0000,0,Bison,,,Bone,metacarpal,female_x000B_190-200mm,Alaska,United States,,,L. Eldorado Ck.,65.57,-148.38,From Metcalf et al. 2012 SI data,,,,1938,,,American Museum of Natural History,A-169-3131,Alan and Beth,20-May-00,Bison - Canada,,"the bag says it's a male bison, the database says female.",0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC11061,GP0000,0,Bison,,,Bone,metacarpal,,Canada,Canada,,,Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1986,,,Canadian Museum of Nature,CMN 33718,,,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC11062,GP0000,0,Bison,,,Bone,metacarpal,_x000B_,Canada,Canada,,,Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1984,,,Canadian Museum of Nature,CMN 45659,,,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04357,GP0000,0,Bison,,,Bone,L. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1987,,,Canadian Museum of Nature,CMN 45598,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04285,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Hunker Creek,63.916667,-138.866667,Estimated from location description and coordinates listed for entry #561 in Harington et al. 2003 - Annotated Bibliography of Quaternary Vertebrates of Northern North America: With Radiocarbon Dates,,,,1988,,,Canadian Museum of Nature,CMN 46259,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04439,GP0000,0,Bison,priscus,,Bone,skull,,Canada,Canada,,,Dawson area_x000B_80-pup,64.0052778,-139.0858333,Preece et al. 2000,,,,1970,,,Canadian Museum of Nature,CMN 44413,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
