Artibeus sp	2	6	0.25
Artibeus toltecus	61	60	0.50
Artibeus watsoni	44	33	0.57
Arvicanthis abyssinicus	151	97	0.61
Arvicanthis blicki	8	8	0.50
Arvicanthis nairobae	246	170	0.59
Arvicanthis neumanni	150	129	0.54
Arvicanthis niloticus	1370	1206	0.53
Arvicanthis niloticus ?	0	1	0.00
Arvicanthis niloticus?	12	8	0.60
Arvicanthis nubilans	1	0	1.00
Arvicanthis rufinus	130	105	0.55
Arvicanthis sp.	1	0	1.00
Arvicola amphibius	449	286	0.61
Arvicola richardsoni	1	2	0.33
Arvicola sapidus	97	74	0.57
Arvicola scherman	71	61	0.54
Arvicola terrestris	8	8	0.50
Asellia patrizii	9	13	0.41
Asellia tridens	143	101	0.59
Aselliscus sp	6	1	0.86
Aselliscus stoliczkanus	58	62	0.48
Aselliscus tricuspidatus	168	103	0.62
Atelerix albiventris	17	9	0.65
Atelerix algirus	0	1	0.00
Atelerix frontalis	7	5	0.58
Ateles belzebuth	32	70	0.31
Ateles chamek	1	0	1.00
Ateles fusciceps	17	13	0.57
Ateles geoffroyi	50	78	0.39
Ateles hybridus	0	1	0.00
Ateles marginatus	2	3	0.40
Ateles paniscus	39	68	0.36
Atelocynus microtis	4	4	0.50
Atherurus africanus	45	30	0.60
Atherurus macrourus	20	20	0.50
Atilax paludinosus	21	23	0.48
Auliscomys boliviensis	30	27	0.53
Auliscomys pictus	108	101	0.52
Auliscomys sublimis	66	59	0.53
Avahi laniger	28	23	0.55
Axis axis	27	27	0.50
Axis porcinus	5	7	0.42
Babyrousa babyrussa	21	7	0.75
Baiomys musculus	443	325	0.58
Baiomys taylori	107	121	0.47
Balaenoptera acutorostrata	1	10	0.09
Balaenoptera borealis	5	5	0.50
Balaenoptera musculus	8	18	0.31
Balaenoptera physalus	65	29	0.69
Balantiopteryx infusca	4	4	0.50
Balantiopteryx io	75	85	0.47
Balantiopteryx plicata	167	119	0.58
Balionycteris maculata	24	79	0.23
Bandicota bengalensis	63	56	0.53
Bandicota bengalensis ?	0	1	0.00
Bandicota indica	65	60	0.52
Bandicota savilei	14	9	0.61
Barbastella barbastellabarbastellus	2	0	1.00
Barbastella barbastellus	36	21	0.63
Barbastella leucomelas	14	12	0.54
Barbastella nattereri	6	2	0.75
Bassaricyon alleni	1	7	0.12
Bassaricyon beddardi	0	1	0.00
Bassaricyon gabbii	0	4	0.00
Bassariscus astutus	36	31	0.54
Bassariscus sumichrasti	16	6	0.73
Bathyergus janetta	1	2	0.33
Bathyergus suillus	5	5	0.50
Batomys granti	4	0	1.00
Bauerus dubiaquercus	11	10	0.52
Bdeogale crassicauda	6	0	1.00
Bdeogale jacksoni	4	5	0.44
Bdeogale nigripes	4	5	0.44
Beamys hindei	11	3	0.79
Beamys major	9	6	0.60
Belomys pearsonii	5	1	0.83
Berardius arnuxii	2	0	1.00
Berylmys berdmorei	1	3	0.25
Berylmys berdomorei	1	0	1.00
Berylmys bowersi	20	28	0.42
Berylmys mackenziei	1	3	0.25
Bettongia gaimardi	10	3	0.77
Bettongia lesueur	30	41	0.42
Bettongia penicillata	30	35	0.46
Bettongia setosa	0	1	0.00
Bettonia penicillata	0	1	0.00
Bison bison	81	52	0.61
Bison bonasus	7	4	0.64
Blanfordimys afghanus	26	33	0.44
Blarina brevicauda	1512	1700	0.47
Blarina carolinensis	144	177	0.45
Blarina hylophaga	8	17	0.32
Blarina peninsulae	2	0	1.00
Blarinella griselda	0	3	0.00
Blarinella quadraticauda	62	49	0.56
Blarinella wardi	8	0	1.00
Blarinomys breviceps	3	0	1.00
Blastocerus dichotomus	2	1	0.67
Bolomys lasiurus ?	2	3	0.40
Bos caffer	2	0	1.00
Bos frontalis	9	5	0.64
Bos gaurus	0	1	0.00
Bos grunniens	5	3	0.62
Bos javanicus	12	3	0.80
Bos sauveli	1	0	1.00
Bos taurus	34	21	0.62
Boselaphus tragocamelus	31	22	0.58
Brachiones przewalskii	2	2	0.50
Brachphylla nana	1	1	0.50
Brachylagus idahoensis	19	10	0.66
Brachyphylla cavernarum	231	163	0.59
Brachyphylla nana	26	17	0.60
Brachyphylla pumila	6	12	0.33
Brachytarsomys villosa	1	2	0.33
Brachyteles arachnoides	19	19	0.50
Brachyuromys betsileoensis	1	0	1.00
Brachyuromys ramirohitra	3	0	1.00
Bradypus torquatus	0	1	0.00
Bradypus tridactylus	43	66	0.39
Bradypus variegatus	9	56	0.14
Brucepattersonius iheringi	9	7	0.56
Bubalus bubalis	6	5	0.55
Bubalus depressicornis	6	5	0.55
Bubalus mindorensis	2	0	1.00
