sample	sex	site_type	material	material2	lat	lon	alt	age	endog	Nx	Na	Lx	La	GC	readlen	C2T	G2A
A17434	M	Sediment	Horn	Crania	54.652312	24.933632	145	NA	0.0437206335413	551	19142	148823899	2512082506	0.437569	61.3177	0.025007	0.0190996
A17440	F	Sediment	Leg	Postcrania	52.682238	16.994798	94	2113	0.0578144828389	1012	18765	148823899	2512082506	0.424006	48.8869	0.0520062	0.103644
A17441	F	Sediment	Astragalus	Postcrania	53.151969	18.951692	88.8	825	0.0130828290909	426	8624	148823899	2512082506	0.443397	54.1763	0.0928242	0.0628328
A17443	F	Sediment	Leg	Postcrania	54.652312	24.933632	145	515	0.440551270837	1036	18698	148823899	2512082506	0.433474	49.8932	0.0435922	0.037233
A17444	F	Sediment	Foot	Postcrania	54.652312	24.933632	145	NA	0.601049842971	1115	19046	148823899	2512082506	0.419122	54.4611	0.0376418	0.026075
A17446	M	Sediment	Foot	Postcrania	54.652312	24.933632	145	NA	0.0254004036216	542	19359	148823899	2512082506	0.429936	53.9498	0.0518489	0.0638066
A17447	M	Sediment	Foot	Postcrania	54.652312	24.933632	145	NA	0.0617356693101	523	19280	148823899	2512082506	0.439817	48.0543	0.0210112	0.0282094
A17449	M	Sediment	OtherCrania	Crania	53.404036	22.135113	141.4	1443	0.0111282526645	550	16946	148823899	2512082506	0.494261	51.623	0.0281094	0.0243386
A17451	M	Sediment	OtherCrania	Crania	55.986978	22.248553	140.2	644	0.0128973937514	282	9645	148823899	2512082506	0.428768	52.8726	0.0258321	0.0277114
A17452	M	Sediment	OtherCrania	Crania	54.555393	23.362615	69	603	0.00799533684263	205	6924	148823899	2512082506	0.428946	53.3215	0.0236275	0.0233254
A17455	M	Sediment	Horn	Crania	54.28534	20.49296	124.2	3366	0.00219826404451	321	12139	148823899	2512082506	0.442403	49.2295	0.086087	0.0799709
A17456	M	Sediment	OtherCrania	Crania	54.087109	23.24532	132.1	529	0.0197132312494	405	14477	148823899	2512082506	0.426897	54.7063	0.0205447	0.0270711
A17459	M	Sediment	Horn	Crania	53.17812	22.059032	104	563	0.0532296602182	516	19328	148823899	2512082506	0.433472	54.0665	0.0180448	0.0246338
A17460	M	Sediment	Horn	Crania	53.17812	22.059032	104	591	0.113355156157	514	19298	148823899	2512082506	0.440007	52.5096	0.0305229	0.0450591
A17461	F	Sediment	OtherCrania	Crania	53.828053	22.364663	126.9	NA	0.0108755352647	395	7596	148823899	2512082506	0.436175	54.0182	0.0208016	0.0325157
A17462	M	Sediment	Leg	Postcrania	53.828053	22.364663	126.9	NA	0.177176668416	554	19489	148823899	2512082506	0.421974	53.5596	0.0534662	0.0739833
A17467	M	Sediment	OtherCrania	Crania	50.041187	21.99912	206.5	2040	0.00792422322606	164	6292	148823899	2512082506	0.454891	45.3215	0.0429752	0.0348684
A17470	M	Sediment	OtherCrania	Crania	65.629835	171.695216	59.5	26760	NA	179	5476	148823899	2512082506	0.442444	50.5097	0.0277551	0.0567139
A17477	M	Sediment	OtherCrania	Crania	58.467129	14.975351	131.5	10615	0.00218062610301	288	12184	148823899	2512082506	0.452677	52.0704	0.0573734	0.0568536
A17478	M	Sediment	Foot	Postcrania	56.664895	16.636477	22.9	10801	0.00605406253332	163	5260	148823899	2512082506	0.411485	47.0618	0.103825	0.12835
A17488	M	Sediment	Horn	Crania	65.629835	171.695216	59.5	NA	0.046646231742	532	19460	148823899	2512082506	0.44254	53.5424	0.100605	0.106552
A17492	M	Sediment	OtherCrania	Crania	48.3794	31.1656	198	48395	0.00854644901333	407	13627	148823899	2512082506	0.407628	43.4579	0.15467	0.156217
A17500	M	Sediment	Vertebra	Postcrania	54.2667	27.1167	192.2	4703	0.00360315532996	350	12097	148823899	2512082506	0.433007	48.9395	0.074344	0.12815
A17505	F	Sediment	Horn	Crania	50.395579	18.634638	212.7	NA	0.0648058868949	998	19001	148823899	2512082506	0.436566	55.4146	0.0571494	0.0690342
A17507	M	Sediment	OtherCrania	Crania	52.076397	20.163596	89.2	NA	0.071799305115	584	19364	148823899	2512082506	0.432422	51.0771	0.142263	0.135191
A17681	M	Sediment	Petrosal	Crania	NA	NA	NA	205	0.63031546425	557	19546	148823899	2512082506	0.427305	52.8133	0.0847557	0.0299033
A17682	M	Sediment	Petrosal	Crania	51.399567	245.506448	1234.7	NA	NA	589	19470	148823899	2512082506	0.439536	50.5336	0.0760697	0.0931343
A17683	M	Sediment	Petrosal	Crania	51.399567	245.506448	1234.7	NA	NA	493	19545	148823899	2512082506	0.457768	51.007	0.0776164	0.0633402
A17684	M	Sediment	Petrosal	Crania	51.399567	245.506448	1234.7	1184	0.548255336043	509	19496	148823899	2512082506	0.442431	51.6965	0.0812785	0.0701337
A17685	F	Sediment	Petrosal	Crania	51.399567	245.506448	1234.7	NA	0.259656246352	1006	19107	148823899	2512082506	0.438988	52.5971	0.0275679	0.0449201
A17686	M	Sediment	Petrosal	Crania	51.399567	245.506448	1234.7	2669	0.547626284181	465	19326	148823899	2512082506	0.449562	50.6043	0.0540619	0.0575456
A17688	M	Sediment	Petrosal	Crania	65.5125	211.422222222	172.3	32484	0.570641283854	519	19625	148823899	2512082506	0.419717	55.9097	0.168607	0.0996377
A17689	M	Sediment	Petrosal	Crania	65.5125	211.422222222	172.3	NA	NA	575	19468	148823899	2512082506	0.421939	56.4846	0.109604	0.0976843
